t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
1.544,-1.75797324984442,0.91985539800268,12.3569788525817,0.608177843548721,0.914423248586714,0.0185096395739688,0.000638274999999928,0.0735,-0.000950400000000076
1.552,-2.30255384897164,1.00693563160705,13.7118115876612,0.673036309857318,1.0598616971981,0.0352559437889937,0.000754324999999907,0.0735,-0.00112320000000003
1.56,-2.27120049247166,1.21851251715953,13.6238780015859,0.696612444032589,1.05093790586341,0.0221761495974768,0.000870374999999886,0.0735,-0.00129599999999998
1.568,-2.04995656400281,1.36791271112119,14.2144505328353,0.748131446015396,1.0554694034417,0.00363659028864013,0.000986424999999864,0.0735,-0.00146879999999993
1.576,-2.0505076467697,1.00632232077472,15.0620330519582,0.742886174401957,1.10274632806253,0.0227450949510228,0.00110247499999984,0.0735,-0.00164159999999987
1.584,-2.02045729633437,1.03129606192845,15.9503774393394,0.780878554988624,1.14833777046607,0.019618657960157,0.00121852499999982,0.0735,-0.00181439999999982
1.592,-1.95045056620268,1.39122831744984,17.0747811784827,0.872270236903907,1.20199936373402,-0.00355454009949004,0.0013345749999998,0.0735,-0.00198719999999976
1.6,-2.89497363890976,1.43890923894536,21.975773405046,1.10167289365131,1.59648716567038,0.0350742678837618,0.00159385679999983,0.0735,-0.00231307439999971
1.608,-4.05152287223635,2.70272720025612,32.858488852839,1.76477350046201,2.35186449202444,0.0133317130075091,0.0019963703999999,0.0735,-0.00279202319999968
1.616,-4.60254874547755,2.75689816294045,41.8101460933294,2.17134192746771,2.92196795800335,0.0324649398741226,0.00239888399999997,0.0735,-0.00327097199999964
1.624,-3.05966664474053,2.8057294443488,44.3165476373331,1.93500299512333,2.8640245167616,-0.122554597048826,0.00280139760000004,0.0735,-0.0037499207999996
1.632,-4.07809377281751,2.42307985990397,26.0681050125635,0.653924887921135,1.97668393479454,-0.217777974540401,0.00320391120000011,0.0735,-0.00422886959999956
1.64,-7.61013297661782,5.71931593546437,39.9655226776904,1.31389150261877,3.20481256291325,-0.305347222088116,0.00360642480000018,0.0735,-0.00470781839999952
1.648,-7.38407688165085,6.6396287322074,53.5149738659976,1.60947978513581,3.93154374332251,-0.433567748989216,0.00400893840000025,0.0735,-0.00518676719999949
1.656,-6.73997731437053,7.76030353416456,61.3762558766834,1.78073311603133,4.28711923525797,-0.543142304687988,0.00441145200000032,0.0735,-0.00566571599999945
1.664,-7.81566237568567,9.55321883211237,70.5919917386809,2.06746193745964,4.93870687708921,-0.685373628122182,0.00481396560000039,0.0735,-0.00614466479999941
1.672,-8.50595532784023,8.37434356172745,76.4838988608995,1.99947912387123,5.35623385316501,-0.615784274378208,0.00521647920000046,0.0735,-0.00662361359999937
1.68,-7.81277064154957,10.1339683571158,82.1551437966621,2.25722131465001,5.58415036581095,-0.78560071626669,0.00561899280000053,0.0735,-0.00710256239999933
1.688,-9.20302650896366,10.0663501144694,91.1462818765159,2.31841404265602,6.26389362169033,-0.844580091200756,0.0060215064000006,0.0735,-0.0075815111999993
1.696,-7.50433895420411,11.8234439853612,97.514792394302,2.62252544180046,6.40121592659107,-1.00097416515886,0.00642402000000067,0.0735,-0.00806045999999962
1.704,-5.2963930248431,13.4779793017434,99.5624666296492,2.99402510677107,6.23262839943515,-1.12556938782556,0.00682653360000074,0.0735,-0.00853940880000027
1.712,-2.34785463145023,14.6331172576949,85.7789793822543,3.33420409555637,5.08653536374283,-1.24638489495709,0.00722904720000081,0.0735,-0.00901835760000093
1.72,1.73494154892656,14.0962307297345,60.6255618037178,3.59666379863582,3.16192846709847,-1.21551526127581,0.00763156080000088,0.0735,-0.00949730640000159
1.728,2.41008398134558,7.8915930350024,38.8852476013191,2.55288625696702,1.86240655027836,-0.78993684350107,0.00803407440000057,0.0735,-0.00997625520000224
1.736,1.29523366341678,2.05683177931318,25.9981878400724,1.15714324247609,1.29094073345684,-0.363987250673583,0.00843658799999995,0.0735,-0.0104552040000029
1.744,-5.32885304867499,2.00623824014849,32.9331443780718,0.65554088708276,2.52575462475225,-0.597794819912664,0.00883910159999933,0.0735,-0.0109341528000036
1.752,-3.80235494225078,0.466883675930871,32.3292899704055,-0.0224843324591112,2.29304540400096,-0.562468519957896,0.0092416151999987,0.0735,-0.0114131016000042
1.76,-8.10706795277848,-0.664664912589552,33.0706117350474,-0.586231694852234,2.88096426041835,-0.587315022987218,0.00964412879999808,0.0735,-0.0118920504000049
1.768,-8.74827397476682,-1.43754640499589,36.615746785139,-0.813827830355899,3.16267366381825,-0.391020738038167,0.0100466423999975,0.0735,-0.0123709992000055
1.776,-9.16472148486147,-0.830212422820966,38.4654951341184,-0.912882914781094,3.32323893547844,-0.397722835003083,0.0104491559999968,0.0735,-0.0128499480000062
1.784,-13.1325372172908,-1.76729593002025,45.6447779921173,-1.37404602792588,4.23304444917526,-0.486806443019194,0.0108516695999962,0.0735,-0.0133288968000068
1.792,-15.742779708459,1.07370780445903,54.1803418646274,-0.853263864392917,5.05622678398805,-0.56306788016161,0.0112541831999956,0.0735,-0.0138078456000075
1.8,-17.7019760876446,2.46668092525647,60.259843039548,-0.741781649814333,5.64095503734416,-0.663720376112361,0.011656696799995,0.0735,-0.0142867944000081
1.808,-23.5057969145589,-0.609892950618742,64.4670724504185,-1.06982718307304,6.62454958990261,-0.317265349621593,0.0120592103999943,0.0735,-0.0147657432000088
1.816,-23.9309593624038,-5.11249112312276,59.4989796074727,-1.59147902283124,6.40780779959277,-0.0302983208702954,0.0124617239999937,0.0735,-0.0152446920000095
1.824,-23.1710153134704,-7.41479569696234,55.4474003799622,-1.99900130378111,6.06932848437308,-0.114136484121685,0.0128642375999931,0.0735,-0.0157236408000101
1.832,-26.1930878357814,-6.46258006273952,56.9527614028851,-2.14954994594758,6.50922332644872,-0.433375825004626,0.0132667511999925,0.0735,-0.0162025896000108
1.84,-29.1083763317123,-5.70773293885399,58.5855839941019,-2.11087999521254,6.95275031895038,-0.574371104215417,0.0136692647999918,0.0735,-0.0166815384000114
1.848,-20.2117605309327,-3.98809611399064,53.3686471997832,-1.56176363531026,5.55503509871452,-0.303782076738478,0.0140717783999912,0.0735,-0.0171604872000121
1.856,-12.5950101248756,-2.59917547071087,47.2690235257281,-0.840632511267765,4.27963329274622,0.112016201012742,0.0144742919999906,0.0735,-0.0176394360000127
1.864,-9.14457532504792,-3.34017863752315,48.7559361909476,-0.950052149707074,3.90306932024418,-0.0718348893730404,0.01487680559999,0.0735,-0.0181183848000134
1.872,-12.6726438187275,-5.92703994468556,66.1770907989845,-0.95638240118228,5.31897864055538,-0.0487568672980833,0.0152793191999894,0.0735,-0.018597333600014
1.88,-9.70465599525638,-7.43746574266219,78.9194514838723,-0.996966304318821,5.62556342053677,-0.0280529821210648,0.0156818327999889,0.0735,-0.0190762824000147
1.888,-5.54872282653233,-7.16227903139735,90.3843646553197,-0.687114122157277,5.74683328021887,0.0972710927526244,0.0160843463999897,0.0735,-0.0195552312000154
1.896,-5.61405047398348,-10.0850783951948,104.939477582193,-0.601797193111968,6.56771898736597,0.436223544558995,0.0164868599999905,0.0735,-0.020034180000016
1.904,-7.77060848638634,-11.6350201975014,117.551326897811,-0.452337946364417,7.54196868906199,0.604083617222069,0.0168893735999912,0.0735,-0.0205131288000167
1.912,-8.48873277889054,-17.0915825193768,126.340784916754,-0.740867737254431,8.12555939532186,1.23260659252569,0.017291887199992,0.0735,-0.0209920776000173
1.92,-4.81603426440315,-17.1432437588906,122.998649770953,-0.698006104609668,7.47874996220401,1.22516036614695,0.0176944007999927,0.0735,-0.021471026400018
