t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
2.048,-25.609480276468,2.83216106332249,54.3854414887556,-1.60061394817825,8.12226773092362,-0.838979111529361,0.000991603992319749,0.0735,-0.0297940437492185
2.056,-32.0281957744648,3.34818098081622,62.8237976107764,-1.65703695600554,9.52598046731684,-0.956733171938338,0.00127420399231967,0.0735,-0.0298725812492191
2.064,-30.737690911744,1.85379119097333,60.5435140384601,-1.44753790108831,9.17291347013455,-0.671072846043114,0.00155680399231958,0.0735,-0.0299511187492197
2.072,-32.7080045941827,1.66963062207421,61.7709425370908,-1.36750888446974,9.42388501433476,-0.657864806681103,0.0018394039923195,0.0735,-0.0300296562492204
2.08,-34.6788715744815,1.80692687976267,62.0056666180905,-1.43753562058337,9.53997725558455,-0.7346822596515,0.00212200399231952,0.0735,-0.030108193749221
2.088,-34.4831605155888,1.24849327588168,62.1975189890929,-1.34562854523169,9.53240672657638,-0.704029876359085,0.00240460399231961,0.0735,-0.0301867312492217
2.096,-40.0313598407855,-0.49848398858148,57.9411644451378,-1.01858808092198,9.34607136561121,-0.480016901913022,0.00281067199231971,0.0735,-0.0302269199992218
2.104,-38.8463644041734,-1.69605011951407,58.6168094430694,-0.738128585657086,9.30274823230246,-0.256464128840186,0.0033402079923198,0.0735,-0.0302287599992214
2.112,-37.4763574637904,-1.80806101092436,55.5240326283464,-0.411010087102454,8.87692719386186,-0.00377550386693342,0.0038697439923199,0.0735,-0.030230599999221
2.12,-38.1311254578273,-2.55186481428058,57.2263353670343,-0.206887509703376,9.13995909039165,0.138364073524346,0.00439927999231967,0.0735,-0.0302324399992205
2.128,-40.2059088544734,-1.90342819213961,57.8883721708899,0.0361937576116728,9.36529048201605,0.118977259927046,0.00492881599231941,0.0735,-0.0302342799992201
2.136,-40.4558102852563,-1.55339969137288,59.4430804224228,0.0877156656724057,9.52495696786656,-0.024215546670641,0.00545835199231916,0.0735,-0.0302361199992197
2.144,-46.3129007484118,-3.36418047441502,61.829790426605,-0.0512381160741737,10.1402559861767,0.207845668030574,0.00598788799231891,0.0735,-0.0302379599992193
2.152,-51.9098950443929,-3.03410992614847,66.5979615080103,-0.258177059397544,10.9395988353181,0.028653408804584,0.00651742399231866,0.0735,-0.0302397999992189
2.16,-55.5869626767045,-0.842772158380552,70.0583351875441,-0.335431394926827,11.4860149025418,-0.445747311792809,0.0070469599923184,0.0735,-0.0302416399992185
2.168,-52.4312845706793,0.582494411465533,69.5139502173745,-0.313194738712413,11.1896753600794,-0.64334727969228,0.00757649599231815,0.0735,-0.0302434799992181
2.176,-46.2537051336737,2.17636367123974,66.9917565972259,-0.337064597976815,10.4506747751776,-0.81715887061987,0.00810603199231828,0.0735,-0.0302453199992176
