t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
6.496,-20.6561508142697,-2.05577845850307,-15.2590280738499,-0.178518734345359,2.77587375453185,0.0317605781629719,0.115138170262489,0.0735000000001499,-0.0449033690191687
6.504,-20.4848236842806,-2.09241360589595,-14.6945916586988,-0.183338071825795,2.7355277127957,0.0351184328382278,0.115138162381304,0.073500000000161,-0.0449033546729637
6.512,-20.4647828014631,-1.24996955723083,-14.9280081826628,-0.0925089761116547,2.73073868477631,0.116373388638383,0.115138154460312,0.0735000000001721,-0.044903340348699
6.52,-19.8500445889828,-1.66785812616259,-15.3448561902486,-0.11516590708837,2.6836810422099,0.0927765042616213,0.115138146499574,0.0735000000001832,-0.0449033260464851
6.528,-19.5539350959963,-1.71309776233549,-15.068435384485,-0.123009503263592,2.64302270508137,0.140955745008913,0.115138138499152,0.0735000000001943,-0.044903311766432
6.536,-18.3465194073254,-2.00508570948477,-15.6052827615578,-0.108032205197443,2.50412049381062,0.133925493764143,0.115138130459106,0.0735000000002054,-0.0449032975086503
6.544,-18.9753097274088,-2.62601154102966,-15.2706429621247,-0.19408948109366,2.58833586200842,0.120955915292475,0.1151381223795,0.0735000000002165,-0.0449032832732496
6.552,-18.2359749550978,-2.77552905750129,-14.3007935039634,-0.222699538485324,2.47062485797548,0.115270637300984,0.115138114260395,0.0735000000002276,-0.0449032690603398
6.56,-19.8244636728102,-2.4102835265126,-15.262453872717,-0.181141867110795,2.69048936395006,0.126337674358393,0.115138106101854,0.0735000000002387,-0.0449032548700305
6.568,-19.8650648313417,-2.9341080862972,-14.8050777203104,-0.231310606094012,2.68929520404301,0.16466123553269,0.115138097903939,0.0735000000002498,-0.044903240702431
6.576,-21.6657786008972,-3.00881637210579,-14.6486417585369,-0.235152898778241,2.91136660867454,0.169029053295745,0.115138089666715,0.0735000000002609,-0.0449032265576507
6.584,-21.0274883473321,-2.92317080449196,-14.782988556123,-0.209317463772689,2.82454299606636,0.246109916955307,0.115138081390244,0.073500000000272,-0.0449032124357986
6.592,-22.3905679131559,-3.03776608445632,-15.3205810137653,-0.233030797017134,3.03016180276333,0.290960855102664,0.115138073074591,0.0735000000002831,-0.0449031983369835
6.6,-20.7745107778802,-3.04664750582102,-15.4872330938191,-0.237862606233649,2.84064982286111,0.3058342121477,0.11513806471982,0.0735000000002942,-0.0449031842613142
6.608,-21.2698182678314,-2.89670894469098,-15.7936019974076,-0.219461761880211,2.9026586993935,0.26430329058661,0.115138056325994,0.0735000000003053,-0.0449031702088994
6.616,-20.3475771149526,-2.657723494857,-15.2270224387322,-0.197507376876207,2.75260550049497,0.251543616976189,0.115138047893179,0.0735000000003164,-0.0449031561798471
6.624,-20.893474129465,-2.40958098558579,-15.486439473356,-0.18057796091386,2.83258501597465,0.26793337612171,0.11513803942144,0.0735000000003275,-0.0449031421742657
6.632,-19.4195867113716,-2.38335412577637,-14.9044925746381,-0.17425679651074,2.64004657538784,0.193084049603432,0.115138030910842,0.0735000000003386,-0.0449031281922633
6.64,-19.6031739455049,-1.4645560789822,-14.9647859619124,-0.0403361874968796,2.66416499211036,0.0273901606095497,0.115138022361451,0.0735000000003497,-0.0449031142339475
6.648,-19.1926243151368,-2.24718741934605,-15.3778716082672,-0.14226229035781,2.62368737188139,0.026664478322434,0.115138013773332,0.0735000000003608,-0.044903100299426
6.656,-16.8415928968932,-1.53800817270218,-14.5119236397436,-0.0700648749253489,2.31519834585965,-0.000342127481567322,0.115138005939346,0.0735000000003719,-0.0449030876635881
6.664,-18.9960492165361,-1.7493467611985,-15.4442385478886,-0.0725249193256058,2.62045599240206,0.000529743930754587,0.115137998869196,0.073500000000383,-0.0449030763205301
6.672,-18.0009341234669,-1.61625080318324,-14.7944663030348,-0.0790835441053858,2.46001065372641,0.0559950458179067,0.115137991773345,0.0735000000003941,-0.044903064993533
6.68,-18.2422606840503,-1.41984597715296,-14.624491398592,-0.0251790437619499,2.49990996563416,0.0142997354863959,0.115137984651827,0.0735000000004052,-0.044903053682655
6.688,-17.540020906083,-1.3107313068994,-14.9356899480085,-0.0110016325534244,2.43041471188563,0.0339640814042709,0.11513797750468,0.0735000000004163,-0.0449030423879542
6.696,-17.6756394265913,-0.962810772181434,-14.28168753138,-0.0104515354858945,2.42339144568449,0.00356890046496567,0.115137970331941,0.0735000000004274,-0.0449030311094887
