t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
3.672,-26.6365567509146,1.93607527752208,0.634682656715685,0.181957692104385,3.40898671977163,-0.477474852797261,0.0855057005587464,0.0734999999998224,-0.0496068992536653
3.68,-31.6801714333106,1.31589620133302,1.63354481629703,0.0603705541961436,4.05046607855318,-0.483371664122829,0.0855057005566591,0.0734999999998224,-0.0496068992521081
3.688,-30.3758305135696,1.04993334808985,2.17092929481616,0.0285815898845542,3.8964530278105,-0.517437891185533,0.0855057005545719,0.0734999999998224,-0.0496068992505567
3.696,-37.5825189331862,1.25746614242281,2.92023901290919,0.0398532366722297,4.83441339439465,-0.354015050406191,0.0855057005524742,0.0734999999998224,-0.0496068992490112
3.704,-41.0786708716021,-0.640141816006242,2.88925631685462,-0.195740572973088,5.30135748170259,-0.128468412862009,0.0855057005503759,0.0734999999998224,-0.0496068992474715
3.712,-39.520932194281,-1.86647578387408,3.07852620089069,-0.318606618895517,5.1187940290656,0.00068559296749926,0.0855057005482736,0.0734999999998224,-0.0496068992459377
3.72,-39.0379183082919,-2.51589082666942,2.48802222960326,-0.408210894806027,5.05799786168852,-0.0298362675271475,0.0855057005461641,0.0734999999998224,-0.0496068992444097
3.728,-38.2751471755527,-2.41470526968423,2.5982563734638,-0.380788735873889,4.95425122425378,0.00282444303852968,0.0855057005440547,0.0734999999998224,-0.0496068992428876
3.736,-37.4144943827171,-3.84343876923074,2.85839495578535,-0.608613539901199,4.82464812624552,0.123401453761239,0.0855057005419369,0.0734999999998224,-0.0496068992413714
3.744,-34.7502425565031,-6.1032741000998,3.57293913743255,-0.98845902356922,4.4687751014498,0.0938825450973173,0.0855057005398164,0.0734999999998224,-0.049606899239861
3.752,-30.2134728724894,-4.87428758866993,3.18814711284633,-0.83065923757803,3.83105117870178,-0.109596185590594,0.0855057005376945,0.0734999999998224,-0.0496068992383569
3.76,-31.9574971084709,-7.0031848761316,3.35112151190993,-1.04812428534451,4.06809013262284,0.152247021105214,0.0855057005355628,0.0734999999998224,-0.0496068992368587
3.768,-32.3438593751129,-7.35419584107826,2.90470112979276,-1.03008828719047,4.14429074068804,0.291470717825907,0.0855057005334312,0.0734999999998224,-0.0496068992353664
3.776,-31.1374198403342,-7.35803315087702,2.74292533530004,-0.980403049438636,3.97947501582946,0.312570947771175,0.0855057005312945,0.0734999999998224,-0.0496068992338801
3.784,-29.4881900042216,-6.9102146863714,1.73063074027336,-0.872807091365839,3.75720663224844,0.307078236292947,0.0855057005291517,0.0734999999998224,-0.0496068992323998
3.792,-33.1913214502585,-6.13314290966358,2.80180188505557,-0.8636507570874,4.22574674308098,0.323694552188564,0.085505700527009,0.0734999999998224,-0.0496068992309254
3.8,-34.6693193673723,-5.15713916872406,4.54182931935907,-0.749703206380879,4.49141048437844,0.148906898563048,0.0855057005248577,0.0734999999998224,-0.0496068992294569
3.808,-39.6267617193058,-7.89023956522773,6.28073557431974,-1.1453728209334,5.15564355109273,0.141441862488673,0.0855057005227039,0.0734999999998224,-0.0496068992279944
3.816,-41.457046818774,-10.4360121268196,8.34786417276049,-1.51342817753341,5.40250276310709,0.173389315287024,0.0855057005205495,0.0734999999998224,-0.0496068992265379
3.824,-39.746894291217,-12.2636512055851,9.22354207156802,-1.74706355111963,5.19662424684976,0.107791819263872,0.0855057005183845,0.0734999999998224,-0.0496068992250874
3.832,-38.7857583822486,-12.3983205429172,10.2188755109941,-1.87637163316858,5.0629510217908,-0.0124177144119479,0.0855057005162196,0.0734999999998224,-0.0496068992236429
3.84,-39.0015381545157,-13.0731706303009,11.4574268767626,-2.00701281616117,5.106139849954,-0.112546749682828,0.0855057005140513,0.0734999999998224,-0.0496068992222044
3.848,-39.616628970027,-14.1031226902054,12.525123616251,-2.17594304592118,5.17956126430812,-0.0398998799248794,0.0855057005118753,0.0734999999998224,-0.0496068992207721
3.856,-37.8460912675603,-12.9394390772543,13.3361777813431,-2.05953501998248,4.94082670924483,-0.127794170741648,0.0855057005096993,0.0734999999998224,-0.0496068992193461
3.864,-40.8768187053395,-11.9365406005288,13.9415724649991,-1.9222067959229,5.30171784981871,-0.163820575725211,0.0855057005075175,0.0734999999998224,-0.0496068992179262
3.872,-40.1955508538488,-8.52970440001824,12.7671259340479,-1.48013550482528,5.17324269333473,-0.069737280406481,0.0855057005053304,0.0734999999998224,-0.0496068992165123
3.88,-36.4083406258303,-3.00115149955431,11.4093492633664,-0.790310894076744,4.66265935631465,-0.143352279453835,0.0855057005031432,0.0734999999998224,-0.0496068992151045
3.888,-33.2888617644259,10.0016009716929,9.01330353029229,0.785114274304375,4.25291214431817,-0.369668920278303,0.0855057005009483,0.0734999999998224,-0.0496068992137027
3.896,-31.8630293733864,16.3607612358015,6.95682877309245,1.63608427600685,4.06729091020307,-0.216631406792296,0.0855057004987501,0.0734999999998224,-0.0496068992123071
3.904,-33.4804000845723,17.8367684396202,5.73827166117308,1.89004841437509,4.26044646764194,-0.114774709507022,0.0855057004965518,0.0734999999998224,-0.0496068992109175
3.912,-30.6290952906258,19.641033935182,5.88397164431491,2.13851084318948,3.89010031053248,-0.234268338358843,0.0855057004943442,0.0734999999998224,-0.049606899209534
3.92,-30.098519347321,21.1515741915269,6.28230587320865,2.2627295677212,3.81331890155508,-0.341743951747439,0.0855057004921348,0.0734999999998224,-0.0496068992081566
3.928,-29.2926443252087,21.5576421320185,7.09127400025839,2.26440053302741,3.69534782235726,-0.321682532398099,0.0855057004899255,0.0734999999998224,-0.0496068992067856
3.936,-32.1829460797339,19.9894069037358,8.33030506227337,2.03286211557409,4.0678392030767,-0.453033995043776,0.0855057004877055,0.0734999999998224,-0.049606899205421
3.944,-35.3256175380042,18.1833114700378,9.43377915817931,1.8335296023308,4.46345417120735,-0.305168462924454,0.085505700485485,0.0734999999998224,-0.0496068992040625
3.952,-35.4241357357593,16.8037244067717,9.83791686748125,1.71913005940195,4.44710971141425,-0.160976976424494,0.0855057004832642,0.0734999999998224,-0.0496068992027102
3.96,-32.0952912823571,17.3661263289614,9.2437612000731,1.79712395029001,4.02351414595962,-0.20969366140901,0.0855057004810327,0.0734999999998224,-0.049606899201364
3.968,-25.0270651651652,18.5345259916141,7.86952994849732,1.87638037218794,3.12057247712023,-0.237747879187829,0.0855057004788011,0.0734999999998224,-0.0496068992000239
3.976,-26.097621300171,17.898245483208,7.40727317851178,1.78958711804544,3.24239484691947,-0.176608684890536,0.0855057004765688,0.0734999999998224,-0.0496068991986901
3.984,-24.3063623348139,14.9587451830932,6.74335933674857,1.49654545233888,3.00207438045236,-0.0239013500423596,0.0855057004743262,0.0734999999998224,-0.0496068991973623
3.992,-19.2841183275488,9.35345791130248,4.3462739461683,0.936268197388414,2.35576011275008,0.0579251590829954,0.0855057004720835,0.0734999999998224,-0.049606899196041
4,-15.3847147550392,1.8817368874115,1.69777816558614,0.154480234692985,1.88968936789664,0.186433390079572,0.0855057004698403,0.0734999999998224,-0.0496068991947263
4.008,-12.4936481953737,-2.78678604646432,-0.135577304230421,-0.343995208874256,1.52168950051014,0.025362229558431,0.0855057004675865,0.0734999999998224,-0.0496068991934178
4.016,-9.45750405556985,-2.6903455132091,-0.178994578919146,-0.294302452236534,1.14160888518198,-0.0804416521585962,0.0855057004653327,0.0734999999998224,-0.0496068991921154
4.024,-13.9545597109813,-2.62402207033215,-0.107520774510212,-0.282715091481052,1.69867616066544,0.128288189260042,0.0855057004630789,0.0734999999998224,-0.0496068991908193
4.032,-13.143985146669,-3.69491280516876,-0.915612925741015,-0.408699799085822,1.62845405095847,0.0859834028398428,0.0855057004608141,0.0734999999998224,-0.0496068991895294
4.04,-15.8543237698543,-4.19391794282514,-1.77687529457373,-0.449521765124815,1.99018106466299,-0.0439248096319322,0.0855057004585492,0.0734999999998224,-0.0496068991882457
4.048,-15.6124162995823,-4.61617593630469,-2.08235468280047,-0.540890452542372,1.9637925508191,-0.0627953379475363,0.0855057004562844,0.0734999999998224,-0.0496068991869683
4.056,-12.5066211408127,-3.17319198453933,-1.77870651009063,-0.360472792413085,1.55807870246754,-0.124418351002099,0.0855057004540095,0.0734999999998224,-0.0496068991856978
4.064,-17.4052292582738,-2.37066069324681,-7.00469794400308,-0.225264878332512,2.0656508818746,0.0416438651779198,0.0855057004517335,0.0734999999998224,-0.0496068991844335
4.072,-15.6138551882165,-2.55447826583669,-2.22457257712407,-0.309841126752655,1.93303270802348,0.0991482379149312,0.0855057004494575,0.0734999999998224,-0.0496068991831755
4.08,-14.4193833137988,-2.66751080270059,-3.15216175330482,-0.299794672908292,1.80526766941615,0.0319980109488472,0.0855057004471732,0.0734999999998224,-0.0496068991819237
4.088,-16.8078793185363,-0.414686748615634,-1.2629996203043,-0.13409193462789,2.11522431148934,-0.283308198912513,0.0855057004448861,0.0734999999998224,-0.0496068991806782
4.096,-20.5228799623144,2.26689883531421,0.301113086625701,0.0542499236573397,2.59888388703808,-0.539697507053846,0.085505700442599,0.0734999999998224,-0.049606899179439
4.104,-29.7433936440221,4.07957392440177,3.53419935197113,0.303441194383911,3.79826925199682,-0.51868492635364,0.0855057004403058,0.0734999999998224,-0.0496068991782063
4.112,-37.8630925685446,2.90475252489722,7.9753988945805,0.184480956337244,4.87267257645073,-0.433481147468609,0.0855057004380076,0.0734999999998224,-0.0496068991769804
4.12,-40.9745213919251,3.74360986963146,11.746717602545,0.325110578432839,5.23270098770915,-0.35491065453268,0.0855057004357094,0.0734999999998224,-0.0496068991757608
4.128,-46.1199713842172,4.00406936860058,13.7578714325774,0.399264268975943,5.90374979418983,-0.365257859045658,0.0855057004334079,0.0734999999998224,-0.0496068991745475
4.136,-49.7566072542061,5.64049364452766,13.8806185324187,0.670637084418205,6.38453192897569,-0.253756701932421,0.0855057004310986,0.0734999999998224,-0.0496068991733406
4.144,-51.3732138950094,6.32456095163737,15.0142262164583,0.950460270536127,6.6061312280626,-0.119795916777608,0.0855057004287893,0.0734999999998224,-0.0496068991721399
4.152,-50.42947378076,6.20711520737617,15.006455207185,1.06114567430839,6.47355146881029,0.134680026480525,0.0855057004264801,0.0734999999998224,-0.0496068991709456
4.16,-47.0983812906968,5.47477102973853,13.1685871994745,1.1244244012073,6.04997373783867,0.259532630450062,0.0855057004241597,0.0734999999998224,-0.0496068991697584
4.168,-46.8424572440705,4.58861448383375,11.4499253679431,1.03824112425362,6.04033140727082,0.204557350165459,0.0855057004218394,0.0734999999998224,-0.0496068991685775
4.176,-48.6865388289676,3.48062858149225,11.2416872390178,0.982120945380483,6.28868490252701,0.191710110106083,0.085505700419519,0.0734999999998224,-0.049606899167403
4.184,-47.8620981176166,2.48230705781615,10.4444724503241,0.810402114193463,6.18125297113581,0.107042693636641,0.0855057004171916,0.0734999999998224,-0.0496068991662348
4.192,-48.389545316336,1.54724256875923,10.5518718300754,0.73708309145639,6.24427353283304,0.103010306185376,0.0855057004148602,0.0734999999998224,-0.049606899165073
4.2,-50.1172379762075,-1.26834077234489,11.9805897225144,0.385203680511538,6.42774385213795,0.113058309406262,0.0855057004125287,0.0734999999998224,-0.0496068991639177
4.208,-51.9881279819842,-2.70430720598041,13.3441407746832,0.253466534323581,6.63904058414628,0.154434880807189,0.0855057004101951,0.0734999999998224,-0.0496068991627694
4.216,-50.6946115318719,-2.73919379037599,14.1945366420577,0.298652051500225,6.44613856174201,0.315934391635684,0.0855057004078525,0.0734999999998224,-0.0496068991616276
4.224,-53.5610670526276,-2.40696430442915,15.7104593465434,0.284484630003521,6.78560185112524,0.291157158940273,0.0855057004055099,0.0734999999998224,-0.0496068991604921
4.232,-52.1836252381621,-1.78231702397312,17.5587274369367,0.284344580355259,6.56545587363077,0.385041337414219,0.0855057004031674,0.0734999999998224,-0.0496068991593631
4.24,-51.3818050512321,0.125742191352431,18.369283722077,0.472386887349955,6.40281067009935,0.373102646082972,0.0855057004008171,0.0734999999998224,-0.0496068991582404
4.248,-50.9200823538315,1.57817525350196,19.9607878003189,0.600371492626475,6.32414701439758,0.273860878945744,0.0855057003984635,0.0734999999998224,-0.0496068991571245
4.256,-49.4374761513468,1.66297630060633,21.4228196650267,0.543631857179396,6.07018318224843,0.292916311450456,0.0855057003961098,0.0734999999998224,-0.0496068991560155
4.264,-45.0012148423557,1.43689108801311,22.9411183921186,0.44492319815804,5.43808357053323,0.380932393598373,0.0855057003937548,0.0734999999998224,-0.0496068991549129
4.272,-47.8027820900479,2.67119645001933,23.2210638895916,0.559708320227953,5.78961202892352,0.217727095239962,0.0855057003913901,0.0734999999998224,-0.0496068991538168
4.28,-48.7161087618228,4.44731655622622,22.5913107987893,0.723236424612934,5.91764549046062,0.153216409285233,0.0855057003890253,0.0734999999998224,-0.0496068991527271
4.288,-42.5514077337877,6.69056742562261,21.2455583513048,0.872017482881294,5.09615469493491,0.071827404547393,0.0855057003866605,0.0734999999998224,-0.0496068991516439
4.296,-39.7709877951632,8.42866699171059,19.4384939232813,0.864328573578804,4.74331700421848,-0.191631452747215,0.0855057003842906,0.0734999999998224,-0.049606899150568
4.304,-45.9195221431066,6.17584209725035,1.12531502673957,1.34073470363424,5.84266171500193,-0.281346182367217,0.0855057003819148,0.0734999999998224,-0.0496068991494985
4.312,-46.2832518742801,6.00852863919781,20.3925221932754,0.527550463372072,5.55017053322425,-0.239779441317683,0.0855057003795389,0.0734999999998224,-0.0496068991484354
4.32,-50.0450350647697,5.09209341580308,19.9505842724717,0.412220251860618,6.05135201818536,-0.445471255223116,0.085505700377163,0.0734999999998224,-0.0496068991473789
4.328,-47.2800104024834,4.96536214348757,18.3390447089302,0.402493831428144,5.713355890536,-0.37274422789178,0.0855057003747791,0.0734999999998224,-0.0496068991463287
4.336,-45.5767824408909,4.99256416668447,17.8081410091009,0.436022973492234,5.47414809065444,-0.342140715364262,0.0855057003723921,0.0734999999998224,-0.049606899145286
4.344,-45.7115571503562,4.89881233210986,17.6799528339079,0.534125260270992,5.46830021672734,-0.34092889478834,0.0855057003700051,0.0734999999998224,-0.0496068991442498
4.352,-46.2601912785078,5.02762069302937,17.4181200588069,0.684053576168003,5.52031239974742,-0.0951355494410195,0.0855057003676182,0.0734999999998224,-0.04960689914322
4.36,-43.6823447039552,5.09731002195669,16.5572977912973,0.811400651900002,5.2025300073903,0.0764447451202939,0.0855057003652213,0.0734999999998224,-0.0496068991421967
4.368,-41.4220372322319,4.48013396559748,15.7623603532301,0.871719992681328,4.92524499307745,0.226588129394804,0.0855057003628232,0.0734999999998224,-0.04960689914118
