t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
3.472,-68.0704665251167,7.51408777973463,66.9807926237878,0.440268259904866,11.6934960961966,-1.36221656940251,0,0.073499999999517,0
3.48,-71.156476105431,8.82388400989498,71.1836519030835,0.596545999534601,12.2097480523908,-1.39918152099242,0,0.0734999999995059,0
3.488,-72.2129547503073,9.76816579453289,72.5643078140993,0.904839867398663,12.3948844311674,-1.24513432058002,0,0.0734999999994948,0
3.496,-70.1348307146497,9.90721354757641,72.5381799872278,1.05712368347309,12.1961742370743,-1.22781908515546,0,0.0734999999994837,0
3.504,-69.2007244281797,11.455200083615,71.7906262149775,1.34079318512519,12.0877840911274,-1.26258588771056,0,0.0734999999994726,0
3.512,-68.0450357127184,12.3459033278382,71.5351924412838,1.69125707013712,11.9858849286579,-1.16833530965967,0,0.0734999999994615,0
3.52,-72.9987100418234,12.6575505880506,72.6824829343741,1.39839865958991,12.6093193001777,-1.69454488800325,0,0.0734999999994504,0
3.528,-64.4349603310658,13.4927677076182,68.1088389698855,1.71884774801253,11.3959930668175,-1.28146650455279,0,0.0734999999994393,0
3.536,-67.8380217906869,10.8873871797952,78.1622673698926,1.20985760637226,12.4430306171362,-1.32302416219974,0,0.0734999999994282,0
3.544,-58.0261256244007,7.24153124948997,79.3168741964376,0.74464416645233,11.4757893656751,-1.45987151346464,0,0.0734999999994171,0
3.552,-47.4212666460012,4.0806124746415,74.5706021058383,0.720726501784221,10.0636249902043,-1.04139380571135,0,0.073499999999406,0
3.56,-47.636925058867,2.72813711200725,74.057813560757,0.822032491386245,10.0095165321776,-0.70356332571958,0,0.0734999999993949,0
3.568,-52.0150067141255,2.76505644083966,80.1689943098704,0.951940079112836,10.8378088661458,-0.583781739742921,0,0.0734999999993838,0
3.576,-58.9630234005837,0.811777526890439,87.0165901819147,0.713982422157338,12.0648604907812,-0.581923166898872,0,0.0734999999993727,0
3.584,-64.5924270306004,0.618015248456429,93.6254071950352,0.814853875743795,13.1593379165427,-0.708870336910264,0,0.0734999999993616,0
3.592,-62.4980514029159,-0.646609083422437,93.4698486650224,0.652820335858601,12.9413878424015,-0.762690471999633,0,0.0734999999993505,0
3.6,-54.0889297987132,-2.73804778922293,89.9590649746439,0.328354933646066,11.7478148685531,-0.634114011888721,0,0.0734999999993394,0
3.608,-54.7392520939444,-6.78181020896768,88.2318337462945,-0.0908930178744435,11.700026485524,-0.202783518102534,0,0.0734999999993283,0
3.616,-56.7389200262455,-10.7638632506766,95.8554009308826,-0.352701934397948,12.3718789784538,0.380181054976629,0,0.0734999999993172,0
3.624,-62.3968378415655,-11.7616221341219,105.844050731314,-0.402790908052975,13.6126771696421,0.509396864013635,0,0.0734999999993061,0
3.632,-56.0215840023268,-13.3215048782515,104.129571802917,-0.675151144033023,12.7493227630244,0.551758919031613,0,0.073499999999295,0
3.64,-54.647475063785,-12.5235774736291,98.2348714572428,-0.981694144224458,12.24539348268,0.421477232216807,0,0.0734999999992839,0
3.648,-69.3122688880062,-11.9514622550801,108.554214463724,-0.911825942730689,14.5323112146162,0.366203882585018,0,0.0734999999992728,0
3.656,-73.7288127987713,-7.99900877965983,112.379256817993,-0.579409497937748,15.2737099592391,-0.126703570949965,0,0.0734999999992617,0
3.664,-75.3394594363819,-4.12393297192598,113.306160256659,-0.230287799484501,15.5153692522593,-0.339718738389133,0,0.0734999999992506,0
3.672,-77.4831602426126,-1.82848796765202,109.465892567725,0.335539489522909,15.5260497835037,-0.288524329691212,0,0.0734999999992395,0
3.68,-83.9157828433929,-1.26345286886104,110.076602366912,0.424166309434943,16.3299739288162,-0.434534379634319,0,0.0734999999992284,0
3.688,-87.5409207521306,-0.380561020412438,105.995661832976,0.531453106099721,16.5224482735869,-0.477939192347128,0,0.0734999999992173,0
