t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
1.856,-5.71394989002208,1.29782651527969,14.0586486375381,-0.0625074265600921,0.915075699691244,-0.00883396222788845,0.0131791600000042,0.0735,-0.0100129599999955
1.864,-5.21434683488508,1.05540398262292,12.8458894676568,0.00280763421945121,0.835244124447611,0.0589387478747974,0.0135226000000044,0.0735,-0.0102572799999948
1.872,-6.05953865267697,1.65463130992212,14.4497753387686,0.143656917829108,0.966802344349867,0.0638391202631894,0.0138660400000046,0.0735,-0.0105015999999942
1.88,-6.16849560152313,3.12908336442151,17.1877331523193,0.215170747390702,1.00483921332798,0.0537673980786172,0.0142094800000048,0.0735,-0.0107459199999935
1.888,-4.08596241630078,2.87515788239741,12.5532349764188,0.0883287845797688,0.675065553467197,-0.00328265317681309,0.014552920000005,0.0735,-0.0109902399999929
1.896,-2.49366379224176,1.1160597762806,8.99607640320032,-0.00142142579165669,0.42361148776942,-0.0213593033715051,0.0148963600000052,0.0735,-0.0112345599999922
1.904,-5.34693249819068,1.60783802482816,13.3425425794169,0.199283542635235,0.858953232533624,-0.0919388673723596,0.0152398000000054,0.0735,-0.0114788799999916
1.912,-5.89204035028662,1.19399249947886,14.7261277161504,0.154939102166783,0.948122107533575,-0.111568840758625,0.0155832400000055,0.0735,-0.0117231999999909
1.92,-7.47798865852694,0.183229138904472,17.0432897689385,0.122613790744596,1.190158011676,-0.0658606879099826,0.0159266800000057,0.0735,-0.0119675199999903
1.928,-7.52391529294264,-0.112716255814183,17.0385675569202,0.174195923922574,1.19741709373952,-0.0156791045526491,0.0162701200000059,0.0735,-0.0122118399999897
1.936,-10.4750796184009,0.247066901645143,20.6817489035041,0.19726238389615,1.6406255442903,-0.0705649022248422,0.0166135600000061,0.0735,-0.012456159999989
1.944,-9.69430012258748,1.44985815104607,21.2826912452197,0.324539920887492,1.53722428973526,-0.0921403114684527,0.0169570000000063,0.0735,-0.0127004799999884
1.952,-11.0045624305704,1.2686253227927,26.5388251478555,0.52479331018564,1.76565427577731,-0.0356752265272119,0.0173004400000065,0.0735,-0.0129447999999877
1.96,-10.6969739356597,1.6004672132315,29.1333223106413,0.604925027758377,1.74487471920471,-0.0221512595058615,0.0176438800000067,0.0735,-0.0131891199999871
1.968,-10.7815871063748,1.06229394809691,30.7009213889654,0.631112742885432,1.76976530249138,0.00799263547424314,0.0179873200000069,0.0735,-0.0134334399999864
1.976,-9.9160124955393,0.31690546092876,29.377153421392,0.526289089460019,1.6385256249898,-0.031869365313778,0.0183307600000071,0.0735,-0.0136777599999858
1.984,-9.9824618565902,-1.02867009055115,34.3937645337597,-0.0111724740076856,1.68910787109809,-0.10110388654523,0.0186742000000073,0.0735,-0.0139220799999851
1.992,-9.71305368701969,-1.4616451794994,37.5888372180702,-0.233076178712943,1.67937992080881,-0.134573597253015,0.0190176400000075,0.0735,-0.0141663999999845
2,-9.30926115971596,-0.633792961951053,39.5454294722242,-0.186842387959712,1.63994651973028,-0.17701299631914,0.0193610800000077,0.0735,-0.0144107199999838
2.008,-7.32169003149739,0.763021937437291,38.5696566944402,0.00907547159705169,1.35549243713192,-0.215199441966756,0.0197045200000079,0.0735,-0.0146550399999832
2.016,-6.08299010536402,1.39104181085447,36.850326550777,-0.0137403638201263,1.1676304923469,-0.30305000117652,0.0200479600000081,0.0735,-0.0148993599999825
2.024,-6.60721824112747,1.97898585662211,38.0106232177892,-0.0870892709739534,1.25047109037417,-0.381489325160216,0.0203914000000083,0.0735,-0.0151436799999819
2.032,-6.28434114707396,1.77147301631118,36.8422568531583,-0.252673030842408,1.19508651518344,-0.408572932521243,0.0207348400000085,0.0735,-0.0153879999999813
2.04,-4.98557087570475,2.7769429616848,32.4749300202112,-0.151132486620002,0.976612020715164,-0.331028085303588,0.0210782800000087,0.0735,-0.0156323199999806
2.048,-7.94756440385238,2.42204572628875,27.4206452047083,-0.253048405249421,1.34349736161654,-0.165150961831276,0.0214217200000089,0.0735,-0.0158766399999814
2.056,-7.12100974403268,2.28083162461344,23.7831014667326,-0.355838596274144,1.19737604858665,-0.14363374421461,0.0217651600000091,0.0735,-0.0161209599999821
2.064,-6.4479875919428,2.58384684673238,23.7542471454617,-0.35126982572246,1.10162447914524,-0.138825716231796,0.0221086000000092,0.0735,-0.0163652799999829
2.072,-5.10926618949816,2.80097980000168,24.863960815119,-0.248965428085839,0.923021975219915,-0.136879192268519,0.0224520400000094,0.0735,-0.0166095999999836
2.08,-7.78984972678261,2.8151853635736,30.3616393232498,-0.282817219247901,1.34496829353074,-0.160282316666236,0.0227954800000096,0.0735,-0.0168539199999844
2.088,-7.68988449270671,4.03638188193585,34.4940418482586,-0.150415635951678,1.3704969963358,-0.166610746208688,0.0231389200000098,0.0735,-0.0170982399999851
2.096,-6.03236633825942,4.29927915693219,33.4479458774016,-0.0307000721843064,1.13192905338541,-0.148367795350734,0.02348236000001,0.0735,-0.0173425599999858
2.104,-3.02091352847542,4.01681561868226,30.1110295104491,0.0989121514544408,0.686005811037498,-0.0837706827105227,0.0238258000000102,0.0735,-0.0175868799999866
2.112,-0.484422513944392,3.82752062609131,27.3866714645408,0.216490575248162,0.308939626404168,-0.0521038401359167,0.0241692400000104,0.0735,-0.0178311999999873
2.12,-2.36781286096913,3.88048545117617,30.1450961704576,0.197343903943995,0.585896997932547,-0.200724867244109,0.0245126800000106,0.0735,-0.0180755199999881
2.128,-1.13908898112031,3.98660146582451,32.9424737715147,0.164086529250109,0.448083662011761,-0.126824716533304,0.0248561200000108,0.0735,-0.0183198399999888
2.136,-0.0958491530382569,3.48797379005723,34.2253680017561,0.0221712224366475,0.315495561486277,-0.150747893861308,0.025199560000011,0.0735,-0.0185641599999895
2.144,2.32055106791723,2.47426178121297,34.0987492273729,-0.172892630194099,-0.0217469319203118,-0.112001891568087,0.0255430000000112,0.0735,-0.0188084799999903
2.152,0.7120882033845,2.08613176587265,33.6240984131692,-0.249469173106822,0.190966409277804,-0.107320100986211,0.0258864400000114,0.0735,-0.019052799999991
2.16,0.189955333844504,0.840067024720043,34.8584144675341,-0.523186483015941,0.275260054506727,-0.123288306296073,0.0262298800000116,0.0735,-0.0192971199999918
2.168,0.675160688595968,1.70081923595867,34.4496113040697,-0.465267442811756,0.206395551969907,-0.201801788870928,0.0265733200000118,0.0735,-0.0195414399999925
2.176,-3.01883126508537,1.37604876587029,36.8848341658326,-0.4169919063141,0.744674637646568,-0.348790704813191,0.026916760000012,0.0735,-0.0197857599999933
2.184,-3.8165672736498,0.935776750726351,38.5294368780442,-0.413875692462477,0.873936863352401,-0.383469283113581,0.0272602000000122,0.0735,-0.020030079999994
2.192,-6.06629101849175,0.217832774566084,39.1810939507556,-0.412408896243923,1.19250981318019,-0.411233900431087,0.0276036400000124,0.0735,-0.0202743999999947
2.2,-4.79180583585649,0.159154432251617,35.9825917348536,-0.348143326177486,0.993571082972746,-0.391693933852381,0.0279470800000126,0.0735,-0.0205187199999955
2.208,-5.2316037234393,1.64094196590956,31.3449026631945,-0.36052844860362,1.02131349969895,-0.376688901712018,0.0282905200000127,0.0735,-0.0207630399999962
2.216,-5.67394520347498,2.30872217126867,28.5444893728569,-0.124318063995555,1.06713887662803,-0.400120283632259,0.0286339600000129,0.0735,-0.021007359999997
2.224,-1.58268820184098,2.39785735699986,20.9206997813709,0.22863705170467,0.4519803006138,-0.230309726001174,0.0289774000000131,0.0735,-0.0212516799999977
2.232,-1.08781956355075,1.84435282082351,20.2479503785312,0.261992878027764,0.375675641768958,-0.204778804776876,0.0293208400000133,0.0735,-0.0214959999999985
2.24,-1.62934053000032,1.79560890249805,22.4415987517996,0.325182421237257,0.482739955643464,-0.201496957350716,0.0296642800000135,0.0735,-0.0217403199999992
2.248,-0.879382795506511,2.47005809756055,25.0461237491629,0.570986448380669,0.396786456047335,-0.188013804350097,0.0300077200000137,0.0735,-0.0219846399999999
2.256,0.940512191225767,2.95302708757551,25.0331661564541,0.732476530185488,0.143111104944203,-0.133486013218528,0.0303511600000139,0.0735,-0.0222289600000007
2.264,-1.68343231517078,5.04079622632078,23.5160067035145,0.912160502527488,0.492037577640163,-0.29910440274235,0.0306946000000141,0.0735,-0.0224732800000014
2.272,-1.64576495030462,3.58202112968479,28.1687994752256,0.766372660281135,0.529869860076065,-0.322140826870714,0.0310380400000143,0.0735,-0.0227176000000022
2.28,-4.85615054226511,5.93199323666231,29.85889165641,1.0750903302597,0.98374403893882,-0.463648171652489,0.0313814800000145,0.0735,-0.0229619200000029
2.288,-5.21623272604365,4.81841278041893,31.6337279137133,1.13226955669797,1.05085870561218,-0.206793844168643,0.0317249200000147,0.0735,-0.0232062400000036
2.296,-5.51444470556673,5.62110352059059,32.9305912385866,1.16951823738156,1.12659352316391,-0.378718492688924,0.0320683600000149,0.0735,-0.0234505600000044
2.304,-2.48077092356551,4.66430691130193,31.7237296055023,1.01867456275316,0.698245998382169,-0.325908927915134,0.0324118000000151,0.0735,-0.0236948800000051
2.312,-3.39995688057529,6.06490536097463,33.0949329291127,1.17190243354277,0.843716225097687,-0.426390631295247,0.0327552400000153,0.0735,-0.0239392000000059
2.32,0.706371661841205,4.52809794214353,30.961564539952,1.00656942809553,0.26696701587652,-0.257063418191262,0.0330986800000155,0.0735,-0.0241835200000066
2.328,-0.290933780062182,5.56989407471947,30.2436603001618,1.15837505937915,0.409835085792138,-0.290309973775983,0.0334421200000157,0.0735,-0.0244278400000074
2.336,-0.344155356399865,4.11270505068496,33.5689730307453,1.13522618387508,0.472637779131473,-0.22463175041243,0.0337855600000159,0.0735,-0.0246721600000081
2.344,0.0603167898047055,4.16415001126918,29.838664192105,0.884710954075885,0.3859728718212,-0.269424685981901,0.0341290000000161,0.0735,-0.0249164800000088
2.352,0.59920305466987,4.67125384941882,30.4752412186163,0.936131625781122,0.333950417230229,-0.238520554702247,0.0344724400000163,0.0735,-0.0251608000000096
2.36,-2.52600789715555,2.66901067918245,20.4587221622673,0.629768450798513,0.620181914773955,-0.130937732190424,0.0348158800000164,0.0735,-0.0254051200000103
2.368,2.72377841683257,4.78594904171495,29.2239405673108,0.885997933019263,0.0662021526650872,-0.192884000004514,0.0351593200000166,0.0735,-0.0256494400000111
2.376,1.82556840680055,4.04363912602125,30.4982604450866,0.714019653494181,0.21984456599517,-0.167767570822542,0.0355027600000168,0.0735,-0.0258937600000118
2.384,2.23933377994682,2.72690557913011,30.8908400517871,0.530853693581311,0.205139765774378,-0.157017051797732,0.035846200000017,0.0735,-0.0261380800000125
2.392,2.06759578250016,2.38594328965559,32.1767841990868,0.451734712575498,0.253759968018949,-0.209902259006394,0.0361896400000172,0.0735,-0.0263824000000133
2.4,2.39152972952355,2.73435670595443,30.7344479216089,0.487780686185705,0.207248780222827,-0.171210385984353,0.0365330800000174,0.0735,-0.026626720000014
2.408,6.63918988546532,5.96610280387236,34.1846909268945,0.759885779319549,-0.258158756647387,-0.227877079450623,0.0368765200000176,0.0735,-0.0268710400000148
2.416,-3.77802329657628,1.38100251613252,21.8401801557602,-0.0437566755902186,0.909035952235256,-0.242048439500774,0.0372199600000178,0.0735,-0.0271153600000155
2.424,-5.44423046065986,0.414707476697333,28.3665314505859,-0.238765998387811,1.25254663867484,-0.266734231162136,0.037563400000018,0.0735,-0.0273596800000163
2.432,-7.45755272215605,0.0535056794899976,31.664158864996,-0.286884922534389,1.578182290132,-0.192279854731752,0.0379068400000182,0.0735,-0.027604000000017
2.44,-4.05240197156506,1.64044655141073,29.3280214632599,-0.0835316161385313,1.10471203768579,-0.251357672175083,0.0382502800000184,0.0735,-0.0278483200000177
2.448,1.96051958316948,3.23528394957064,25.4195436510176,0.234575204811256,0.277569534371927,-0.202889231319106,0.0385937200000186,0.0735,-0.0280926400000185
2.456,2.75802524454534,3.02458835172933,24.4553122168305,0.334268717940201,0.161954783493755,-0.0678045633336358,0.0389371600000188,0.0735,-0.0283369600000192
