t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
6.056,-59.4532153060469,-5.48799678547377,25.4269353976276,0.0832384966519306,7.67384640725261,0.477272993356126,0.152551557914226,0.0735000000000111,-0.0501495519423448
6.064,-59.0425180480958,-7.04256763262753,24.9417749357466,-0.0443433761094569,7.62426234994839,0.587406793816572,0.152551566552627,0.0735000000000111,-0.0501495497841104
6.072,-59.472124935926,-8.39317918820229,27.1794086036938,-0.103819990882771,7.61993288183399,0.751380937118946,0.152551575184883,0.0735000000000111,-0.0501495476014254
6.08,-59.7243469395435,-7.72515241120144,29.9262252775629,0.00376816035744243,7.69616791670946,0.74221673766013,0.152551583810923,0.0735000000000111,-0.0501495453943076
6.088,-59.7680128107195,-8.72362657655484,32.0099879173806,-0.0737369246867787,7.66226831439246,0.758499027378929,0.15255159243068,0.0735000000000111,-0.0501495431627741
6.096,-58.500713365488,-8.27110056525077,34.2091939735103,0.000469843378667845,7.44182090277747,0.64023628179667,0.152551601044084,0.0735000000000111,-0.0501495409068431
6.104,-59.4233430992728,-6.24293086306372,36.5598809107497,0.274507621024962,7.58715455664822,0.446277084237473,0.152551609651065,0.0735000000000111,-0.0501495386265326
6.112,-59.041785817299,-3.43474975450105,39.781075014616,0.56244948184926,7.5156979934157,0.14761939905604,0.152551618251556,0.0735000000000111,-0.0501495363218611
6.12,-58.4573684246389,0.151699132941055,40.3461887978745,0.944504836433014,7.43077610523429,-0.249033034954188,0.152551626845486,0.0735000000000111,-0.0501495339928468
6.128,-58.8121487260015,2.89548002451907,39.610947808476,1.08386428512488,7.37383249137635,-0.573818030276667,0.152551635432787,0.0735000000000111,-0.0501495316395085
6.136,-55.9859454385633,-0.0796717236484046,30.1830986430367,0.482448382520566,6.99177778484537,-0.752304308832367,0.152551644013391,0.0735000000000111,-0.0501495292618651
6.144,-53.8040419654713,-0.907982608186012,27.74856815203,0.381312503139306,6.6754289890848,-0.732473591403727,0.152551652587228,0.0735000000000111,-0.0501495268599356
6.152,-50.9520208168772,-3.31705469369449,27.1082667668053,0.00844763136934729,6.34417913975108,-0.665099103602575,0.15255166115423,0.0735000000000111,-0.0501495244337393
